2026-02-08 00:44:27,473 | INFO | dataset_split.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:44:28,250 | INFO | dataset_split.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:44:28,786 | INFO | dataset_split.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:44:29,334 | INFO | dataset_split.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:44:29,905 | INFO | dataset_split.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:44:30,526 | INFO | dataset_split.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:44:31,276 | INFO | dataset_split.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:44:31,798 | INFO | dataset_split.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:44:32,151 | INFO | dataset_split.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:44:32,633 | INFO | dataset_split.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:44:33,046 | INFO | dataset_split.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:44:33,665 | INFO | dataset_split.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
2026-02-08 00:44:34,436 | INFO | dataset_split.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:44:35,054 | INFO | dataset_split.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:44:35,413 | INFO | dataset_split.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:44:35,760 | INFO | dataset_split.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:44:36,110 | INFO | dataset_split.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:44:36,481 | INFO | dataset_split.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:44:36,482 | INFO | dataset_split.dataset_splitter | Dataset split completed successfully
2026-02-08 00:44:36,482 | INFO | dataset_split.dataset_splitter | Total classes in train: 34
2026-02-08 00:44:36,482 | INFO | dataset_split.dataset_splitter | Total classes in val: 34
2026-02-08 00:44:36,482 | INFO | dataset_split.dataset_splitter | Total classes in test: 34
2026-02-08 00:50:10,271 | INFO | dataset_split.dataset_splitter | Dataset splitting started
2026-02-08 00:50:10,272 | INFO | dataset_split.dataset_splitter | Created directory: data_split\train
2026-02-08 00:50:10,273 | INFO | dataset_split.dataset_splitter | Created directory: data_split\val
2026-02-08 00:50:10,274 | INFO | dataset_split.dataset_splitter | Created directory: data_split\test
2026-02-08 00:50:10,636 | INFO | dataset_split.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:50:11,007 | INFO | dataset_split.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:50:11,623 | INFO | dataset_split.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:50:12,051 | INFO | dataset_split.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:50:12,696 | INFO | dataset_split.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:50:13,274 | INFO | dataset_split.dataset_splitter | chapati → Train=200, Val=50, Test=10
2026-02-08 00:50:13,622 | INFO | dataset_split.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:50:14,017 | INFO | dataset_split.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:50:14,620 | INFO | dataset_split.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:50:14,977 | INFO | dataset_split.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
2026-02-08 00:50:15,490 | INFO | dataset_split.dataset_splitter | dal_makhani → Train=200, Val=50, Test=10
